Figure 3A,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,CT11,CT12,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT34,CT35,CT36,CT37,CT38,CT39,CT40,CT41,CT42,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT51,CT52,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115
Npy,0.022436771,0.023242877,0.030663143,0.044719524,0.046034223,0.049578197,0.023234646,0.03098866,0.020160504,0.027175522,0.020171846,0.038383672,0.050595395,0.033261948,0.039057445,0.036039815,0.049948439,0.030506898,0.027758576,0.045668367,0.031851901,0.382676284,0.333720539,0.032829728,0.045264552,0.050310208,0.055325418,0.020877693,0.035842744,0.020898619,0.009241211,0.019221529,0.028228252,0.061991497,0.019101004,0.024926039,0.032002743,0.058584736,0.026826886,0.051563175,0.030991816,0.04511563,0.011181513,0.055174749,0.02675917,0.026003025,0.032631826,0.006419003,0.009686391,0.016620207,0.026426232,0.005063796,0.030044706,0.00506891,0.042548148,0.489285362,0.496346234,0.589304136,0.737075194,0.829815564,0.955987305,0.806702864,0.75903462,0.600541267,0.480543887,0.849531763,0.71737915,0.891952887,0.333463252,0.129452671,0.112842617,0.095912263,0.094563602,0.284728798,0.099735207,0.090032862,0.089311491,0.092484526,0.094472945,0.825343073,0.742657348,0.533279068,0.308410933,0.743454837,1,0.787546801,0.783244615,0.81703101,0.757614011,0.800208873,0.788460205,0.849572973,0.617724412,0.621037028,0.266853908,0.640486958,0.569951867,0.764313932,0.838770513,0.847510279,0.881630548,0.521555864,0.488449684,0.454868438,0.849468659,0.588531264,0.771497865,0.59700118,0.752183556,0.663153757,0.187209284,0.342293756,0.056033489,0.648941106,0.484203696
Sst,0.129282821,0.010507204,0.017369722,0.02853857,0.086733097,0.028653266,0.019982948,0.0367212,0.019651328,0.042599574,0.016204802,0.019287869,0.018558784,0.018389469,0.018553616,0.018245105,0.027604771,0.01852276,0.019252487,0.047326521,0.009976752,0.033388919,0.02834822,0.02205994,0.042451361,0.030221668,0.031801673,0.019712901,0.025547691,0.035500313,0.024988059,0.026438995,0.027951036,0.102428497,0.016207526,0.003328402,0.039246204,0.043978558,0.024746855,0.033660836,0.028019289,0.068296936,0.032939616,0.016115018,0.018366242,0.027570156,0.019328017,0.004167754,0.00848747,0.017331389,0.005702041,0,0.020580558,0.017450054,0.026437189,0.052805985,0.042014784,0.046209584,0.041308407,0.045495437,0.059952373,0.059258639,0.009415693,0.071752325,0.071058311,0.053149567,0.053729373,0.079923583,0.045287106,0.064621709,0.053160511,0.072382286,0.063924959,0.06685766,0.056475296,0.046516788,0.037709944,0.049335026,0.050709886,0.059778496,0.061193523,0.051287446,0.055215215,0.065419745,0.99616265,0.844597642,0.731498724,0.76446249,0.877057416,0.952182032,0.877320075,0.953974928,0.864644376,0.934615684,0.92167912,0.902363473,0.913978809,0.91815801,0.935238823,0.95213909,0.997779869,0.862293343,0.859001203,0.818675502,1,0.469883704,0.778836522,0.335470246,0.606586679,0.085305958,0.054915754,0.047533244,0.03822687,0.021384396,0.060349015
Vip,0.017064565,0.024791293,0.02608211,0.017043806,0.023297225,0.01908819,0.016527304,0.011531315,0.010282505,0.009251694,0.002478919,0.007625837,0.022350779,0.027256372,0.021133486,0.020290382,0.021014111,0.012914016,0.009005045,0.027270752,0.017165998,0.012852964,0.015787879,0.019113109,0.022520055,0.014746952,0.014520602,0.010832429,0.009130716,0.008499845,0.007267302,0.002958833,0.007007212,0.001049763,0.042325437,0.028029052,0.021817117,0.032139756,0.018832369,0.016549021,0.0117707,0.023387287,0.011549013,0.020417775,0.019999082,0.023102066,0.026419319,0.007109481,0.003451906,0.006266478,0.006340677,0.004985608,0.010094617,0.008680768,0.010944968,0.060318014,0.131074249,0.071781171,0.069974154,0.070003879,0.073515762,0.048788985,0.037778093,0.855026494,0.559530806,0.891149803,0.590547082,0.892430878,0.784774885,0.565790176,0.928600848,0.938168332,0.959649204,0.959651061,0.950300541,0.92335447,0.934020215,0.933612086,0.931959306,0.975924883,0.923883523,0.993932736,0.936866005,1,0.033145107,0.035753455,0.057291968,0.045621831,0.063854024,0.065196188,0.05257298,0.059875834,0.052156665,0.055477383,0.050376566,0.05167367,0.026015703,0.055282399,0.057015917,0.04878424,0.045325675,0.035262777,0.031578501,0.049720941,0.051813031,0.046423077,0.029932433,0.018843963,0.05155799,0.035182105,0.035305595,0.039296179,0.026825733,0.03123037,0.051938456
Tac2,0.005054865,0.002615047,0.001337698,0.001116163,0.006776089,0.001989713,0,0.002014936,0,0,0.144371865,0.132458731,0.037874144,0.018971466,0.010612277,0.004011089,0.026488458,0.012049874,0.044470182,0.128945758,0.112714431,0.183461504,0.138428597,0.001701938,0.003576324,0.007579768,0.130102579,0.018822751,0,0,0,0,0.000316947,0.006759836,0.014732756,0.007082469,0.002454365,0.002949359,0.002890761,0,0.000707771,0.002769558,0,0,0.002171054,0.002086729,0.00634615,0,0,0,0,0,0,0,0,0.019274223,0.427029936,0.719102676,0.633529201,0.016899111,0.017558894,0.010944997,0.847411771,0.778847273,0.034435189,0.921240844,0.478844446,0.922071003,0.81889545,0.355286141,0.50851261,0.157557398,0.024842338,0.729134525,0.809107696,0.451282588,0.933645121,0.680572342,0.887340746,1,0.845191414,0.972741815,0.932930766,0.962950037,0.00594952,0.002684295,0.009894984,0.012876447,0.019875356,0.015043879,0.005431523,0.021579874,0.212002214,0.040964943,0.095992603,0.570084679,0.010662398,0.015161386,0.013528814,0.005020136,0.047676039,0.758639083,0.023483563,0.02583054,0.111361925,0.004906842,0.009053598,0.001887923,0.004698376,0.003842932,0.002204766,0.005512732,0.002999707,0.005150812,0.010473412
Cck,0.854628378,0.851318238,0.853726056,0.842652385,0.841894823,0.871053436,0.809545241,0.753641047,0.776639114,0.820831091,0.877197205,0.896693097,0.896583657,0.879123749,0.863793927,0.814369688,0.860279064,0.805019926,0.818009905,0.849507075,0.868303952,0.888231818,0.873299319,0.890385329,0.908863941,0.902949016,0.886340275,0.861980175,0.41508122,0.599199156,0.668459855,0.701354664,0.689663966,0.772832157,0.764150559,0.777521735,0.038843242,0.044716348,0.03471331,0.041934995,0.656814476,0.323940384,0.217869159,0.616227741,0.424639952,0.556584418,0.488974094,0.37725613,0.766768851,0.660366338,0.640073999,0.633014782,0.523972989,0.775402012,0.377295687,0.838253015,0.819955786,0.703697223,0.33269057,0.449557762,0.674636624,0.661278653,0.973496586,0.884746777,0.837363695,1,0.924095737,0.912757412,0.401506523,0.032414598,0.41625906,0.04143204,0.033746809,0.815240969,0.44319438,0.032913551,0.270953545,0.032373091,0.340226176,0.733155015,0.685321627,0.855559342,0.807681104,0.960292004,0.030758548,0.159602563,0.252953952,0.32798871,0.348329825,0.022163286,0.028027191,0.147228246,0.238572311,0.08314051,0.03986502,0.052577933,0.01759022,0.028430089,0.023974913,0.100154126,0.029547696,0.164149581,0.057175986,0.502635365,0.465175946,0.35712609,0.531279612,0.626089682,0.570458816,0.610567659,0.663203883,0.703770515,0.574272024,0.650623399,0.739754823
Penk,0.41322731,0.03489572,0.521189049,0.509353414,0.766122384,0.313644946,0.004027793,0.004323987,0.001367267,0.001527495,0.003104237,0.140223206,0.127852698,0.024047487,0.003793096,0.00177074,0.004522034,0.010168275,0.001468542,0.00927324,0.020313318,0.278661951,0.609223169,0.65119987,0.413976169,0.221982383,0.165428766,0.481574839,0.000386261,0.001946372,0.003339659,0.032581775,0.082383637,0.05167746,0.010193358,0.027786645,0.001610848,0.003224336,0.001835819,0.001123711,0.014549081,0.002652782,0.000896641,0.001263225,0.002530872,0.004446023,0.002649381,0.000293902,0,0.002484661,0.000846498,0,0.002884,0.000762119,0.002355175,0.171288602,0.034769877,0.081162282,0.415393795,0.016753045,0.012680371,0.041380994,0.011944272,0.015920094,0.006418967,0.013723262,0.006905129,0.009026035,1,0.971529565,0.972920135,0.88758921,0.89526497,0.413901294,0.866066739,0.82235609,0.665173242,0.917430438,0.81084044,0.085131927,0.622801279,0.940569813,0.833206722,0.159320022,0.826831926,0.34590911,0.131114983,0.009473093,0.008942452,0.020526642,0.017813735,0.394359599,0.700766883,0.208331079,0.006346173,0.009890059,0.003675085,0.012528624,0.164250427,0.368074398,0.008596627,0.006195381,0.005541057,0.354475735,0.846532234,0.044240036,0.721288666,0.24684368,0.53189447,0.227657815,0.024314118,0.005794977,0.005085191,0.005661569,0.012305924
Crh,0.026846467,0.022254682,0.248375137,0.001382463,0.039453226,0,0.000970302,0.001865396,0.004145074,0.023511264,0.249076271,0.004817391,0.004498392,0.001173779,0.002918317,0.000921986,0.001101921,0.001448915,0,0.012071951,0.001986498,0.000231396,0.001129107,0.000768577,0.001516308,0.000489106,0.001010433,0.016927571,0,0,0,0,0,0.001986679,0.007372745,0.006523055,0.001569684,0.002360102,0,0.000625947,0.000153457,0.005617914,0,0.001489906,0.001048471,0.00321696,0.001055121,0,0.124325781,0,0,0.004231683,0.172054866,0.627250733,0,0.355740094,0.078428803,0.009358466,0.08735987,0.012969949,0.012218316,0.008681321,0.429733294,0.647603549,0.007156693,0.773577221,0.316854654,0.722504276,0.89414569,0.893196638,0.800248789,0.818806471,0.730400717,0.671704828,0.552138546,0.315620823,0.834588989,0.64017031,0.950965222,0.94868656,0.938623233,1,0.925356048,0.978560041,0.005998752,0.01097328,0.009171524,0.011287031,0.021237787,0.230256459,0.009185505,0.010689067,0.006856103,0.006440463,0.008362411,0.280617101,0.00404644,0.015029617,0.075738336,0.607932205,0.573556513,0.703609804,0.791178113,0.697641754,0.528712471,0.006914246,0.302424153,0.219932557,0.006297412,0.003057115,0.005303208,0.002459835,0.002104775,0.004826182,0.010321396
Cort,0,0,0.002187989,0,0,0,0,0,0,0.002379078,0,0.004566929,0,0,0.000306801,0.001603982,0.008479538,0.058821376,0.110442692,0.023140481,0.035340221,0,0,0,0.002876116,0,0.011533324,0,0.262869689,0.070452778,0.366494326,0.36346947,0.426315675,0.062224848,0.120751028,0.195812861,0,0.001404178,0,0,0,0,0.032670429,0,0,0,0,0,0,0,0.002781646,0,0,0,0.071227535,0.186653074,0.264400447,0.120967143,0.123444639,0.482694492,0.621687694,0.742264872,0.224002485,0.138733945,0.115004892,0.235098056,0.094533041,0.30821681,0.407245319,0.242440376,0.622916336,0.301074094,0.251502161,0.282858718,0.421775867,0.247048216,0.026187863,0.536713135,0.397351723,0.628255526,0.659260689,0.7418677,0.672966398,0.062529294,0.864407168,0.862913532,0.849526305,0.89882156,0.708974043,0.637512708,0.733101117,0.866638441,0.69321357,0.616658845,0.146325524,0.366084403,0.421474961,0.560380784,0.899614224,0.899332268,0.883917461,0.198675997,0.432600843,0.443349932,1,0.635994298,0.841065439,0.675517131,0.887895905,0.757831307,0.680624772,0.664586489,0.410931828,0.838351556,0.70726292
Tac1,0,0,0,0,0,0.001170266,0,0.000655492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000195291,0,0.266694479,0,0,0.404541705,0.224767043,0.263145318,0.000620331,0.000821193,0.002866483,0.058099161,0.000410521,0,0.000865647,0,0,0,0.002204746,0,0,0,0,0,0.000290502,0,0,0,0.000569806,0,0.006578019,0.001330411,0,0.001321245,0.001442154,0.001028029,0.001132472,0.113593291,0,0.001727725,0.001955007,0.005005189,0.002843389,0,0.00031839,0,0,0.001573865,0,0.000313713,0.002566852,0.000315612,0.001534197,0.000897985,0.000307801,0.000729586,0.003725019,0.002857036,0.003236735,0.001476155,0.004868464,0.071272708,0.770609627,1,0.403910718,0.002151132,0.003649611,0.00105037,0.003399767,0.001656733,0.001528577,0.002150113,0.001606986,0.000433288,0.003403138,0.0017308,0.001396446,0.002693173,0,0.008752701,0.006936959,0.761521565,0.964243425,0.89610088,0.951005513,0.861843429,0.905533466,0.876802917,0.312588431,0.851109981,0.523733027
Pdyn,0.275718789,0.176686322,0.138060862,0.466680767,0.487561066,0.001980996,0,0,0,0,0,0,0,0,0,0,0,0.005069809,0.000398203,0,0,0,0,0,0,0,0,0.018220758,0,0,0.005505312,0.211839229,0.117222641,0.058874423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069457821,0.130339793,0.091746041,0,0.00117911,0,0,0,0,4.89E-05,0.000316261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361303286,0.401620528,0.117673466,0.248496331,0.493974094,0.73079374,0.645445588,0.566131218,0.001129942,0.303307113,0.908601931,0.819278318,1,0.913230944,0.754936641,0.358770626,0.294958489,0.503315996,0.002093895,0,0.001941933,0.000472773,0.001313017,0,0.000744927,0,0,0,0,0,0
