Figure 3A,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,CT11,CT12,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT34,CT35,CT36,CT37,CT38,CT39,CT40,CT41,CT42,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT51,CT52,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115
Pthlh,0,0,0,0,0,0.001473384,0.041721749,0.005565619,0,0.252999501,0.213574502,0,0,0,0,0,0,0,0,0.022563073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000925327,0,0,0,0,0,0,0,0,0.000866683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001529229,0.003778298,0.254358258,0.019679268,0.393013892,0,0.001615616,0,0,0.001002182,0.63858043,0.467096821,0.28186114,0.864287643,0.926703502,0.874315969,0.772105538,1,0.93399698,0.829095193,0.803398589,0.665986107,0.933316391,0.853459727,0.679862366,0.865847251,0.073219665,0.00120733,0,0.054771876,0.250997567,0.000818456,0.00126554,0.040221786,0.001150089,0,0,0,0,0,0,0.000646906,0,0,0,0,0.00175114,0.337469837,0.179045857,0.333045618,0.352372229,0.461642692,0.357355366,0.612793276,0.574653814,0.679727744,0.516624747,0.987277958
Pnoc,0,0,0,0,0.000800474,0,0,0,0,0,0,0,0.001703174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000984668,0,0.010847007,0,0,0,0,0,0,0.00055927,0.000466185,0.000126744,0,0.000637731,0,0,0,0.000781523,0,0,0,0,0.000285042,0,0,0,0,0.033970005,0.052631423,0.879375909,0.699672214,0.41527837,0.683071404,0.828002398,0.924075843,0.970991221,0.645115091,0.93130636,0.76557617,0.920369898,0.834940438,0.88429372,0.813075974,0.587761086,0.750141275,0.783374291,0.595129346,0.519111902,0.363842004,0.001502771,0.351036341,0.830092112,0.872918102,0.867178028,0.90556991,0.994895385,0.948065429,1,0.000230868,0.144592459,0.001954061,0.057815302,0.001703174,0.002181111,0.064426048,0.232461327,0.495770086,0.051064228,0.19745493,0.184325409,0.713754122,0.587105397,0.451244311,0.306593011,0.472192024,0.27453007,0.191040095,0.405100223,0.926741639,0.932396092,0.60010643,0.441787044,0.067840337,0.33618578,0.422745368,0.109506341,0.424437321,0.150483979,0.22708499
Trh,0,0,0,0,0.000866651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292936,0,0,0,0,0,0,0,0,0,0.001436862,0,0,0.000372044,0.012992418,0.012530635,0.136667085,0,0,0.87083817,0.086779477,0,0,0,0,0,0.003893783,0.099999371,0.457204909,0.371062141,0.380263228,0.830610263,0.626245295,1,0.018818388,0,0,0,0,0,0.212163612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grp,0.509161538,0.675150468,0.396922034,0.461769118,0.250773599,0,0,0,0,0,0,0,0.06539347,0.000394664,0,0,0.043601738,0.007934002,0.292743722,0.090200726,0.116471403,0.362885439,0.300908523,0,0,0,0,0,0.845125032,0.11630636,0.72357477,0.721971206,0.256816423,0.230386501,0.154243326,0.701610562,0.641929967,0.926419161,0.903704514,0.093996902,0.663651948,0.494860558,1,0,0.403114598,0.998498697,0.670739261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017835404,0.084552591,0.439014351,0.665384141,0.3675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347997611,0,0.474439003,0,0.101016276,0,0,0,0,0,0
Rln1,0,0,0,0.007480601,0.036896666,0,0,0,0,0,0,0,0,0,0,0,0,0.003247791,0.030657933,0.00150201,0.038754771,0.005548096,0.009848037,0,0,0,0,0,0,0,0,0,0,0.000812755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071512913,0,0,0,0.282333878,0,0.305682091,0.147038612,0,0,0,0,0.216928145,0.33020448,0.316770423,0.084995714,0,0,0.079644769,0.040269934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082002182,1,0.570555853,0.321493152,0.008671934,0.445198965,0.599308096,0.518258957,0.539908177,0.212790378,0.33924155,0.514988393,0.495881881,0.49538025,0.486600459,0.594860147,0.610098362,0.767397115,0.244389524,0.35505696,0.348304172,0.660032249,0,0.241978854,0,0,0,0,0,0,0,0
Adcyap1,0.765035309,0.053764394,0.643675036,0.05657368,0.474141095,0.732465332,0.829466781,0.675794943,0.186389473,0.195951995,0.639701538,0.848005311,0.78621433,0.774706223,0.895866663,0.81765086,0.961157962,1,0.53307645,0.330034577,0.58515725,0.496818807,0.019058148,0.005506289,0.03688979,0.005165837,0.782715223,0,0.364399729,0.782365437,0.800474913,0.929346591,0.953688658,0.878563348,0.947252862,0.962594056,0,0.019328954,0.090626871,0,0,0.000807141,0.519009636,0,0.027290127,0,0,0,0,0,0.05739209,0.153947711,0.049085753,0.401700481,0.074041357,0,0,0.097610851,0.440283319,0.129599608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nts,0,0,0,0,0,0,0,0.101188127,0.22358922,0,0,0,0,0,0,0,0,0.012224383,0,0,0,0,0,0,0,0,0,0,0,0.087372936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062633174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128083812,0.041304208,0,0,0,1,0,0.425217844,0,0,0,0,0,0,0,0
Nmb,0.077193473,0.039052814,0.064227806,0.068469333,0.031695449,0.107360945,0.073842464,0.066299564,0.02136673,0.022727894,0.035555388,0.021975362,0.122997828,0.044342497,0.039956906,0.054032585,0.050175347,0.023794582,0.044489201,0.028747437,0.039327649,0.033968325,0.066909991,0.055528012,0.022850637,0.073445081,0.055955646,1,0.046513221,0.03685688,0.064393592,0.14098891,0.080263645,0.050021477,0.012250125,0.035451669,0.012790241,0.018636158,0.053218365,0.017542585,0.040056945,0.031684296,0.033115355,0.056043776,0.033291187,0.026428559,0.016987279,0.022107578,0.038598883,0.071961393,0.044862966,0.120503756,0.203090022,0,0.424461906,0.012686047,0.008433207,0.029065875,0.032096227,0.079070994,0.130063915,0.099234023,0.02766138,0.051320245,0.042480641,0.134832732,0.118934225,0.171109029,0.005755488,0.036891969,0,0.039509028,0.168447247,0.292920335,0.015189955,0.061025128,0.001530696,0.011067366,0.045862476,0.250422782,0.082175246,0.000930563,0.001351141,0,0.082308079,0.026612629,0.014574184,0,0.08400241,0.045494114,0.045742776,0.017096544,0.00727757,0.01935856,0.014690571,0.044225744,0.013816048,0.01628998,0.00780784,0.026217955,0.048913981,0.039965847,0.003342562,0.032868034,0.038588271,0.020880003,0.019953275,0.025889142,0.006282568,0.028500411,0.007057803,0.009393007,0.016302989,0.012096993,0.031106056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3B,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,CT11,CT12,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT34,CT35,CT36,CT37,CT38,CT39,CT40,CT41,CT42,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT51,CT52,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115
Sstr2,0.292149778,0.383521348,0.137981423,0.013278548,0.060373099,0.084704241,0.51280507,0.717246037,0.845684209,0.818422189,0.825143888,0.749343974,0.123284934,0.008608275,0.443545235,0.407510362,0.276697607,0.464078016,0.726006781,0.805641746,0.746177469,0.743287451,0.77893398,0.748336576,0.799125677,0.680952332,0.677196816,1,0.739573019,0.765910626,0.710827022,0.587417954,0.564537261,0.585184103,0.500836474,0.530588543,0.001269195,0.354616857,0.003913014,0.118596487,0.676370614,0.665583299,0.536754081,0.514006513,0.481199133,0.502895809,0.589688654,0.652500161,0.828369609,0.668723139,0.562679229,0.111889181,0,0.417870226,0.087643529,0.418863709,0.668468977,0.755918657,0.718545412,0.621001975,0.375753656,0.467007221,0.647968467,0.356920126,0.046289126,0.460373448,0.45470224,0.658060208,0.755638335,0.359011154,0.446517406,0.491374835,0.418604827,0.472537782,0.065040027,0.221661211,0.453634313,0.337137071,0.521814954,0.803136866,0.527496254,0.671776532,0.481599905,0.468453539,0,0.023251343,0.000744417,0.339759434,0.000771013,0.001212103,0.104682412,0.218521049,0.027911891,0.480706713,0.446372119,0.232320193,0,0,0.007488805,0.014574756,0.002440875,0.319652805,0.307871696,0.240353642,0.084782024,0.000463454,0,0.002738392,0,0,0,0.109043362,0.352118217,0.30803817,0.780259353
Npy2r,0,0.023748904,0,0,0.006615809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031876559,0.258982396,0.345414502,0.183803266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029732073,0.574604733,0.611363949,0.597270796,0.001084611,0,0,0,1,0.975425867,0.540979664,0,0,0.577381857,0.718735702,0.764539401,0.9175568,0.949363851,0.690437161,0.639166075,0.961637912,0.763290981,0.454531815,0.076578414,0,0.379406937,0,0,0.665768296,0.057429681,0.040008574,0.117364915,0.022052127,0.326112672,0.193851217,0,0,0,0,0,0,0,0.026496573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npy1r,0.56806142,0.611633537,0.733322343,0.614009983,0.679070628,0.62771573,0.702545881,0.487646838,0.528053549,0.531061252,0.517442331,0.62650137,0.563043045,0.536873804,0.526562525,0.521788581,0.538471454,0.575309651,0.534238697,0.542705492,0.477723548,0.425144514,0.458216761,0.517926591,0.446682485,0.419788625,0.363243531,0.415130503,0.075412976,0.293421898,0.027580214,0.197820887,0.253399875,0.378156997,0.14664146,0.206332948,0.000370122,0.174184384,0.08232348,0.000150841,0.411363516,0.328845404,0.270498557,0.192077186,0.422578379,0.320389055,0.393124966,0.157389436,0.522307352,0.298320758,0.219383606,0.043331467,0.011856766,0.130835624,0,0.378753662,0.732717568,0.632954522,0.659666345,0.363809095,0.080146749,0.079208644,0.804072351,0.779860984,0.694153739,0.819895968,0.51713388,0.734225324,0.996340719,0.856758284,1,0.961518142,0.982617483,0.909686143,0.846515565,0.932396412,0.892319618,0.793384579,0.879395925,0.835629795,0.913788635,0.785286803,0.5901748,0.872388106,0.221597676,0,0,0,0.00223564,0,0.002853535,0,0,0,0,0,0,0,0.022383862,0.244202772,0.168939417,0.140462563,0.531751155,0.382993171,0.406426129,0,0,0,0,0,0,0,0,0,0.000269331
Grpr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120167297,0,0.215820747,0.258497151,0.793188974,0.61470362,0.555978758,0.852617307,0.831683349,0.787739591,0.846803958,0.908261287,0.88919757,1,0.874102959,0.840684904,0.925646093,0.872903635,0.732841863,0.630624385,0.683008343,0,0.349584065,0.284826288,0.073296256,0.17068749,0.001369957,0.30091332,0.264343391,0.00037661,0.005803681,0,0,0,0,0.032051491,0.440281517,0.241375224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cckbr,0.908456281,0.810896662,0.908640226,0.780223289,0.941167219,0.825441149,0.843180375,0.860937891,0.871066901,0.770114675,0.802293849,0.703107652,0.864267241,0.692898731,0.762633903,0.775612129,0.837731465,0.790560662,0.811483481,0.786001192,0.811189726,0.788530144,0.794418826,0.893675374,0.892758334,0.741241334,0.741263137,0.459272179,0.515361862,0.641472697,0.706308756,0.849607959,0.823544694,0.765787781,0.845819869,0.802610406,0,0,0,0.016312787,0.787605782,0.81195521,0.78402393,0.743810337,0.861385112,0.787502807,0.803979981,0.835515699,0.931842799,0.88864787,0.90606061,0.925097259,0.971097604,1,0.945379919,0.207356673,0.013841102,0,0,0,0.02942449,0,0.178017833,0,0.058225456,0,0.001925343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536031145,0.26211939,0.129084393,0.187030658,0.068498468,0.247944657,0.192582856,0.000742484,0.00032931,0.008140336,0,0.001006497,0.550284242,0.608237739,0.583373245,0.395941213,0,0.039761667,0.435205616,0.664927764,0.702251586,0.59253184,0.548487954,0.649633337,0.603394145,0.689585657,0.578087758,0.55095153,0.617966955,0.0017013
