HE_genes,DE_genes,NP_genes
Pgm2l1,Fam84a,
Chchd10,Anxa5,
Laptm4b,Spata2l,
Gnai1,Cnn3,
Capza2,Pkib,
Ctsd,Rapgef5,
Syt11,Rtn4rl2,
Mlf2,H2-T23,
Rap1gds1,Ndst3,
Sec62,Hdac9,
Cct8,Lmo4,
Ngfrap1,Slc32a1,
Nrxn3,Hs6st2,
Cox5b,Camk2d,
Celf2,Ephb6,
Prdx2,Rcn1,
Gprasp1,Grm1,
Ndufb9,Kctd4,
Rgs7bp,Homer2,
Eef1a1,Tle4,
Olfm2,Sema3a,
Mllt11,Nrp1,
Atxn10,Grm3,
Uqcrb,Cacna1e,
Cd200,Nyap2,
Cd47,Cntnap5a,
Srsf7,Gria3,
Ctxn1,Anxa6,
Idh3a,Sh3bgrl,
Selk,Ache,
Dync1i1,1190002N15Rik,
Pnoc,Cdh10,
Ndufa11,Wscd1,
Sdhb,Cmpk2,
Lxn,Stk32c,
Uqcrh,Grm7,
Sars,Dock4,
Qpct,Atp6ap1l,
Cadm2,Synj2,
Rab2a,Glra2,
Hint1,Shisa9,
Gde1,Rasd2,
Strbp,Tmeff2,
Omg,Cenpa,
Napa,Fgf13,
Tnmd,Pid1,
Fam49a,Ildr2,
Tubb5,Fam81a,
Sdha,Kcnk2,
Ywhag,Rgs14,
2900011O08Rik,Rab27b,
Rab6b,Gpr12,
Rasgrf1,Psd3,
Edil3,Nbl1,
Cacnb4,Mafb,
Hapln1,9430021M05Rik,
Sh3gl2,Dgat2,
Sdcbp,Thrsp,
Kcnc2,Socs2,
Chodl,Galnt18,
Cadm1,Ptchd4,
Atp5j2,Sesn1,
Tmeff2,Il34,
Syn1,Kcnh1,
Basp1,6330403A02Rik,
Hsd11b1,Gng7,
Gabrb2,Arhgef3,
Ptk2b,Tmem200a,
Grin2b,Timp2,
Igfbp4,Pcdh11x,
Wbp2,Mctp1,
2010107E04Rik,Cpne6,
Atp5h,Cpne4,
Sez6,5031426D15Rik,
Cct7,Adcyap1r1,
Mtch1,Lhx6,
Prkacb,Zdbf2,
Satb1,4930447M23Rik,
Glrb,Icam5,
Atp6v0c,Cacng3,
Atp6v0e2,Me3,
Syngr3,Mbp,
Tmem30a,Limch1,
Eid1,Tspan17,
Sema3c,Ntrk3,
Ttc14,Rasgef1c,
Rit2,H2-D1,
Uqcrq,Cthrc1,
Scgn,Kcns3,
Itfg1,1700001L19Rik,
Adarb2,Spats2l,
Gng4,Rsph9,
Syne1,Ovol2,
B2m,Lgi2,
Camk4,Csmd3,
Mapk10,Lxn,
Nefm,Abhd3,
Stmn4,Ptprz1,
Pfkp,Tpm4,
Celf4,Rorb,
Atp6v1h,Scube1,
Idh3b,Unc13b,
Plcxd2,Me1,
Prdx5,Rilpl1,
Nrsn2,Nacc2,
Caly,Slc35f3,
Snx3,Pex5l,
Gnb4,Ppp1r14c,
Rgs2,Clstn2,
Brk1,Utrn,
Ndfip2,Slc29a1,
Lingo1,Pdzrn3,
Lypd6,Cplx2,
Vdac2,Tank,
Gpi1,Cntnap4,
Crtac1,Osbpl3,
Gng2,Gpx3,
Mt1,Mpped2,
Junb,Dlg1,
Ndufc2,Pcdh17,
Srrm2,Adssl1,
Fam213a,Scn3b,
Mif,Lrrk2,
Nfib,Pcbd1,
Atf4,Hexb,
Map1lc3b,Adra1b,
Fut9,Tcrb,
Atrx,Sel1l3,
Fam19a1,Lgi3,
Atp5o,Syt16,
Cbln2,2510009E07Rik,
Usp14,Hapln4,
Tcf25,Sh3gl3,
Kcnip4,LOC105246327,
Cd24a,Fndc5,
Son,Garnl3,
Mal2,Vldlr,
Cyc1,Ptpre,
Cox6a2,Tspan33,
Prdx1,Hapln1,
Cend1,Fgf9,
Hnrnpu,Col25a1,
Efhd2,Egr4,
Nckap1,Sema4a,
Dynlt3,Cap2,
Uqcrfs1,2010300C02Rik,
Scg3,Prox1,
Timp2,Dhrs7,
Dnaja1,Pde9a,
Rasgrp1,Htr3a,
Ensa,Bmp3,
Asph,Lypd1,
Crip2,Neurod2,
Ube2b,Hlf,
Olfm3,Tenm1,
Pja2,Sertad1,
Rgs12,Fat3,
Srsf5,Nnat,
Rab27b,Sulf2,
Mff,Pcdh9,
Ndufb5,Hsdl2,
Cltc,Rxfp1,
Zfp706,E530001K10Rik,
Ppp1r1a,Metrnl,
Cryab,Trib2,
Ntm,Ypel1,
Rsrp1,Sidt1,
Tmem59,Bcl11b,
Akr1c18,Gpr158,
Saraf,Parva,
Luzp2,Lrrtm2,
Apbb1,Tiparp,
Ntrk2,Arhgef28,
Nsg1,Unc5d,
Psmb1,Sox5,
Idh3g,Mpdz,
Mgst3,Plcb4,
Grina,Atp1b2,
Rab14,Ttc39b,
Ptprn,Ptpro,
Pclo,Creg2,
Npy2r,Rgs12,
Fam171b,Neto1,
Ap2m1,Prss12,
Rbm39,Kctd12,
Sucla2,Lix1,
Atp5d,Slc35f4,
Lrpap1,Rasgrp2,
Klhl13,Tmod1,
Gria1,Rasal1,
Psip1,Kirrel3,
Map1lc3a,Slc9a3r2,
Scoc,Rnd1,
Diras2,Lmo2,
Msmo1,Kcnn2,
C1qtnf4,Fam171a1,
Pnisr,Kcnh7,
Cacybp,Ninj1,
Ndufs7,Npas3,
Bag1,Brinp2,
Arpc2,Gadd45b,
Gls,Lrrtm4,
Hnrnpc,Tnr,
Ociad1,Dpysl3,
Canx,Tm6sf1,
Prepl,Col6a1,
Nr4a1,Lppr3,
Hspa9,2810468N07Rik,
Kidins220,Syt12,
Bex1,Galntl6,
Sv2b,Kcns2,
Mat2b,Fam210b,
Map2k1,Cpne2,
Mtpn,Hcn1,
Kif1a,1110032F04Rik,
Ndufa6,Ap3b1,
Lypd1,BC030500,
Vapa,Pcdh19,
Rgs17,Nwd2,
Gstm5,Chrna4,
Zranb2,Vrk1,
Tpt1,Ramp3,
Pdia3,Glt8d2,
Gas5,Dab1,
Kif5c,Grm2,
Kcnma1,Skil,
Chl1,Msrb2,
Eif4g2,A730017C20Rik,
Rrp1,LOC105243853,
Pitpna,Kcnd3,
Prkcg,Kcnq5,
Fbxw7,Triqk,
Rab1,Mid1ip1,
Vbp1,Ankrd33b,
Arf4,Edil3,
Psma2,Lrrtm1,
Uqcrc2,Myo1b,
Psmc5,Ptprg,
Ank2,Mas1,
Rnpc3,Rims3,
Rtn4,Smc2,
Cisd1,Cdo1,
Dkk3,LOC105245838,
Dnaja2,Hspa2,
Cyp46a1,Sorcs1,
Arf1,Ctps,
Ndufb2,Prmt8,
Ndufb10,Dnajb5,
